scalerank	natscale	labelrank	featurecla	name	namepar	namealt	diffascii	nameascii	adm0cap	capalt	capin	worldcity	megacity	sov0name	sov_a3	adm0name	adm0_a3	adm1name	iso_a2	note	latitude	longitude	changed	namediff	diffnote	pop_max	pop_min	pop_other	rank_max	rank_min	geonameid	meganame	ls_name	ls_match	checkme
4	50	2	Populated place	Kugluktuk			0	Kugluktuk	0	0		0	0	Canada	CAN	Canada	CAN	Nunavut	CA		67,79866282	-115,1253504	4	0	Location adjusted. Population from GeoNames.	1302	1302	0	3	3	5994339		Kugluktuk	0	0
4	50	2	Populated place	Batagay			0	Batagay	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		67,65598533	134,6350272	1	1	Added place. Population from GeoNames.	4266	4266	0	4	4	2027044			2	0
4	50	2	Populated place	Vorkuta			0	Vorkuta	0	0		0	0	Russia	RUS	Russia	RUS	Komi	RU		67,50000002	64,00998409	0	0		80039	62484	56928	8	8	1486910		Vorkuta	1	0
4	50	8	Populated place	Sisimiut	Holsteinsborg		0	Sisimiut	0	0		0	0	Denmark	DNK	Greenland	GRL	Qeqqata Kommunia	GL		66,95000775	-53,66660567	1	1	Added place. Population from GeoNames.	5227	5227	0	5	5	3419842			2	0
4	50	2	Populated place	Zhigansk			0	Zhigansk	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		66,76970868	123,3711153	1	1	Added place. Population from GeoNames.	3237	3237	0	4	4	2012530			2	0
3	110	2	Populated place	Repulse Bay			0	Repulse Bay	0	0		0	0	Canada	CAN	Canada	CAN	Nunavut	CA		66,52946689	-86,28293502	4	0	Location adjusted.	1000	748	0	2	2	-1		Repulse Bay	0	0
4	50	7	Admin-1 capital	Rovaniemi			0	Rovaniemi	0	0		0	0	Finland	FIN	Finland	FIN	Lapland	FI		66,50003522	25,71593909	1	0	Location adjusted.	34781	25389	0	7	7	638936		Rovaniemi	1	5
3	110	2	Populated place	Fort Good Hope			0	Fort Good Hope	0	0		0	0	Canada	CAN	Canada	CAN	Northwest Territories	CA		66,26661277	-128,6333218	0	0		597	597	0	2	2	-1		Fort Good Hope	1	0
4	50	7	Admin-1 capital	Lules			1	Lulea	0	0		0	0	Sweden	SWE	Sweden	SWE	Norrbotten	SE		65,59663477	22,15837833	4	0	Location adjusted.	48638	45551	40392	7	7	604490		Lulea	1	0
3	110	1	Populated place	Fairbanks			0	Fairbanks	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		64,83698427	-147,7106586	4	0	Location adjusted.	56993	30224	0	8	7	5861897		Fairbanks	1	0
3	110	2	Admin-1 capital	Anadyr			0	Anadyr	0	0		0	0	Russia	RUS	Russia	RUS	Chukchi Autonomous Okrug	RU		64,73699038	177,4749963	4	0	Location adjusted. Population from GeoNames.	10332	10332	0	6	6	2127202		Anadyr	0	0
4	50	2	Populated place	Ugolnye Kopi			0	Ugolnyye Kopi	0	0		0	0	Russia	RUS	Russia	RUS	Chukchi Autonomous Okrug	RU		64,73329551	177,6999955	0	0		3367	3367	0	4	4	-1		Ugolnyye Kopi	0	0
3	110	2	Populated place	Archangel			0	Archangel	0	0		0	0	Russia	RUS	Russia	RUS	Arkhangel'sk	RU		64,57495892	40,5450081	0	0		356051	234322	208308	10	10	581049		Archangel	1	0
4	50	2	Populated place	Ust Nera			0	Ust Nera	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		64,56658734	143,1999825	4	0	Population from GeoNames.	9148	9148	0	5	5	2120048		Ust Nera	0	0
3	110	1	Populated place	Nome			0	Nome	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		64,50610008	-165,4063744	0	0		3485	2557	2450	4	4	5870133		Nome	1	0
3	110	8	Admin-0 region capital	Nuuk	Godthab		0	Nuuk	0	0		0	0	Denmark	DNK	Greenland	GRL	Kommuneqarfik Sermersooq	GL		64,19828147	-51,73265879	4	0	Location adjusted. Population from GeoNames.	14798	14798	0	6	6	3421319		Nuuk (Godthab)	0	0
3	110	8	Admin-0 capital	Reykjavik			1	Reykjavik	1	0		0	0	Iceland	ISL	Iceland	ISL	Su=urnes	IS		64,15002362	-21,95001449	0	0		166212	113906	160116	9	9	3413829		Reykjavik	1	0
4	50	2	Populated place	Dawson City			0	Dawson	0	0		0	0	Canada	CAN	Canada	CAN	Yukon	CA		64,0666437	-139,4166687	4	0	Location adjusted.	1319	1319	0	3	3	6943713		Dawson	0	0
4	50	2	Admin-1 capital	Iqaluit			0	Iqaluit	0	0		0	0	Canada	CAN	Canada	CAN	Nunavut	CA		63,75045938	-68,50019175	4	0	Location adjusted. Population from GeoNames.	6124	6124	0	5	5	5983720		Iqaluit	0	0
3	110	7	Admin-1 capital	Trondheim			0	Trondheim	0	0		0	0	Kingdom of Norway	NOR	Norway	NOR	Sor-Trondelag	NO		63,41665753	10,41666622	0	0		147139	141533	133289	9	9	3133880		Trondheim	1	0
4	50	2	Populated place	Chesterfield Inlet			0	Chesterfield Inlet	0	0		0	0	Canada	CAN	Canada	CAN	Nunavut	CA		63,33829022	-90,70008163	4	0	Location adjusted.	374	374	0	2	2	-1		Chesterfield Inlet	1	0
4	50	7	Admin-1 capital	Vaasa			0	Vaasa	0	0		0	0	Finland	FIN	Finland	FIN	Western Finland	FI		63,09998435	21,60001461	0	0		57014	40846	33687	8	7	632978		Vaasa	1	5
4	50	2	Populated place	Mirnyy			0	Mirnyy	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		62,54001853	113,9613537	0	0		40308	20763	20647	7	7	2019951		Mirnyy	1	0
3	110	2	Admin-1 capital	Yellowknife			0	Yellowknife	0	0		0	0	Canada	CAN	Canada	CAN	Northwest Territories	CA		62,44201418	-114,3969814	4	0	Location adjusted.	19234	18083	0	6	6	6185377		Yellowknife	1	0
4	50	7	Populated place	Sundsvall			0	Sundsvall	0	0		0	0	Sweden	SWE	Sweden	SWE	VSsternorrland	SE		62,40005292	17,31665849	0	0		73389	48463	64066	8	7	2670781		Sundsvall	1	0
3	110	2	Admin-1 capital	Yakutsk			0	Yakutsk	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		62,03495892	129,7350162	0	0		235600	206026	200163	10	10	2013159		Yakutsk	1	0
4	50	2	Admin-1 capital	Petrozavodsk			0	Petrozavodsk	0	0		0	0	Russia	RUS	Russia	RUS	Karelia	RU		61,84998313	34,28001583	0	0		265025	231676	4083	10	10	509820		Petrozavodsk	1	0
4	50	7	Populated place	Tampere			0	Tampere	0	0		0	0	Finland	FIN	Finland	FIN	Pirkanmaa	FI		61,5000045	23,75001257	4	0	Location adjusted.	259279	202687	0	10	10	634963		Tampere	1	0
3	110	2	Populated place	Surgut			0	Surgut	0	0		0	0	Russia	RUS	Russia	RUS	Khanty-Mansiy	RU		61,25994163	73,42501664	0	0		400000	306703	91636	10	10	1490624		Surgut	1	0
2	200	1	Populated place	Anchorage			0	Anchorage	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		61,21996991	-149,9002149	4	0	Location adjusted.	260283	243853	0	10	10	5879400		Anchorage	1	0
4	50	8	Populated place	Narsarsuaq			0	Narsarsuaq	0	0		0	0	Denmark	DNK	Greenland	GRL	Kommune Kujalleq	GL		61,16658815	-45,41661829	0	0		145	145	0	1	1	-1		Narsarsuaq	1	0
3	110	1	Populated place	Valdez			0	Valdez	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		61,13599571	-146,348287	4	0	Location adjusted.	4036	2530	0	4	4	5877389		Valdez	1	0
4	50	2	Populated place	Arviat			0	Arviat	0	0		0	0	Canada	CAN	Canada	CAN	Nunavut	CA		61,10859211	-94,05860672	4	0	Location adjusted.	1868	1868	0	3	3	-1		Arviat	1	0
3	110	1	Populated place	Bethel			0	Bethel	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		60,79330345	-161,7557961	0	0		6228	4653	0	5	4	5880568		Bethel	1	0
4	50	2	Populated place	Lensk			0	Lensk	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		60,72527142	114,94703	4	0	Location adjusted.	25589	23694	0	7	7	2020838		Lensk	1	0
3	110	2	Admin-1 capital	Whitehorse			0	Whitehorse	0	0		0	0	Canada	CAN	Canada	CAN	Yukon	CA		60,71671897	-135,0499844	4	0	Location adjusted.	23276	23272	0	7	7	6180550		Whitehorse	1	0
3	110	7	Populated place	Bergen			0	Bergen	0	0		0	0	Kingdom of Norway	NOR	Norway	NOR	Hordaland	NO		60,39100242	5,324522256	4	0	Location adjusted.	213585	187194	0	10	9	3161732		Bergen	1	0
2	200	7	Admin-0 capital	Helsinki			0	Helsinki	1	0		1	1	Finland	FIN	Finland	FIN	Southern Finland	FI		60,17556337	24,93412634	4	0	Changed scale rank.	1115000	558457	762958	12	11	658225	Helsinki	Helsinki	1	0
10	1	8	Admin-0 region capital	Mariehamn			0	Mariehamn	0	0		0	0	Finland	ALD	Aland	ALD	Finstrom	AX		60,09699618	19,94900447	4	1	Added missing admin-1 capital. Changed feature to Admin-0 region capital. Population from GeoNames.	10682	10682	0	6	6	3041732			0	0
4	50	2	Populated place	Fort Smith			0	Fort Smith	0	0		0	0	Canada	CAN	Canada	CAN	Alberta	CA		60,00001853	-111,8833364	0	0		518	518	93357	2	2	-1		Fort Smith2	1	1
2	200	2	Admin-1 capital	St. Petersburg		Sankt Peterburg|Saint Petersburg	0	St. Petersburg	0	0		0	1	Russia	RUS	Russia	RUS	City of St. Petersburg	RU		59,93901451	30,31602006	5	0	Changed scale rank.	4553000	3493212	789617	12	12	498817	Sankt Peterburg	St. Petersburg2	1	0
2	200	7	Admin-0 capital	Oslo			0	Oslo	1	0		1	1	Kingdom of Norway	NOR	Norway	NOR	Oslo	NO		59,91669029	10,74997921	4	0	Changed scale rank.	835000	580000	701804	11	11	3143244	Oslo	Oslo	1	0
3	110	2	Admin-1 capital	Magadan			0	Magadan	0	0		0	0	Russia	RUS	Russia	RUS	Maga Buryatdan	RU		59,57497988	150,8100089	0	0		95282	87161	86279	8	8	2123628		Magadan	1	0
3	110	8	Admin-0 capital	Tallinn			0	Tallinn	1	0		0	0	Estonia	EST	Estonia	EST	Harju	EE		59,43387738	24,72804073	0	0		394024	340027	317949	10	10	588409		Tallinn	1	0
4	50	2	Populated place	Okhotsk			0	Okhotsk	0	0		0	0	Russia	RUS	Russia	RUS	Khabarovsk	RU		59,38300193	143,2170357	4	0	Location adjusted. Population from GeoNames.	5570	5570	0	5	5	2122605		Okhotsk	0	0
1	300	7	Admin-0 capital	Stockholm			0	Stockholm	1	0		1	1	Sweden	SWE	Sweden	SWE	Stockholm	SE		59,35075995	18,09733473	4	0	Location adjusted.	1264000	1253309	0	12	12	2673730	Stockholm	Stockholm	1	0
4	50	2	Admin-1 capital	Vologda			0	Vologda	0	0		0	0	Russia	RUS	Russia	RUS	Vologda	RU		59,20998924	39,91998165	0	0		294889	208495	201533	10	10	472459		Vologda	1	0
3	110	2	Populated place	Palana			0	Palana	0	0		0	0	Russia	RUS	Russia	RUS	Kamchatka	RU		59,08400209	159,9500195	4	0	Location adjusted. Changed feature class. Population from GeoNames.	3671	3671	0	4	4	2122262		Palana	0	0
3	110	2	Populated place	Churchill			0	Churchill	0	0		0	0	Canada	CAN	Canada	CAN	Manitoba	CA		58,76598533	-94,1659941	4	0	Location adjusted.	1000	923	0	2	2	5922111		Churchill	0	0
4	50	2	Populated place	Aldan			0	Aldan	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		58,60299786	125,38939	0	0		24426	12717	12355	7	6	2027968		Aldan	1	0
4	50	2	Admin-1 capital	Kirov		Vyatka	0	Kirov	0	0		0	0	Russia	RUS	Russia	RUS	Kirov	RU		58,59005292	49,66998083	0	0		457437	457383	418518	10	10	548408		Kirov2	1	0
3	110	1	Admin-1 capital	Juneau			0	Juneau	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		58,31412661	-134,419997	4	0	Location adjusted.	30711	21633	0	7	7	5554072		Juneau	1	0
4	50	7	Admin-1 capital	Kristiansand			0	Kristiansand	0	0		0	0	Kingdom of Norway	NOR	Norway	NOR	Vest-Agder	NO		58,16664207	8,000017862	0	0		63814	52770	51161	8	8	3149318		Kristiansand	1	0
4	50	2	Populated place	Kuujjuaq			0	Kuujjuaq	0	0		0	0	Canada	CAN	Canada	CAN	Quebec	CA		58,10000531	-68,39999577	0	0		1273	1273	1127	3	3	-1		Kuujjuaq	1	0
3	110	2	Admin-1 capital	Perm		Perm'	0	Perm	0	0		0	1	Russia	RUS	Russia	RUS	Perm'	RU		57,99995974	56,24999263	0	0		997000	851308	828286	11	11	511196	Perm	Perm	1	0
4	50	2	Populated place	Ust-Ulimsk			0	Ust-Ulimsk	0	0		0	0	Russia	RUS	Russia	RUS	Irkutsk	RU		57,98996035	102,6333113	4	0	Location adjusted.	100271	37353	0	9	7	2013952		Ust-Ulimsk	1	0
4	50	2	Populated place	Nizhny Tagil			0	Nizhny Tagil	0	0		0	0	Russia	RUS	Russia	RUS	Sverdlovsk	RU		57,9200163	59,9749849	0	0		381116	367571	361668	10	10	520494		Nizhny Tagil	1	0
4	50	2	Admin-1 capital	Pskov			0	Pskov	0	0		0	0	Russia	RUS	Russia	RUS	Pskov	RU		57,82999595	28,32993974	0	0		201990	177969	175175	10	9	504341		Pskov	1	0
3	110	1	Populated place	Kodiak			0	Kodiak	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		57,78999839	-152,4069869	0	0		9461	6148	9122	5	5	5866583		Kodiak	1	0
4	50	2	Admin-1 capital	Yaroslavl			0	Yaroslavl	0	0		0	0	Russia	RUS	Russia	RUS	Yaroslavl'	RU		57,61998293	39,87001054	1	1	Name changed.	606730	535578	455253	11	11	468902		Yaroslave	1	0
4	50	2	Admin-1 capital	Tyumen			0	Tyumen	0	0		0	0	Russia	RUS	Russia	RUS	Tyumen'	RU		57,14001223	65,52999467	1	0	Changed scale rank.	519119	402785	383284	11	10	1488754		Tyumen	1	0
4	50	1	Populated place	Sitka			0	Sitka	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		57,06039769	-135,3275494	4	0	Location adjusted.	8931	7289	0	5	5	5557293		Sitka	1	0
3	110	8	Admin-0 capital	Riga			0	Riga	1	0		0	0	Latvia	LVA	Latvia	LVA	Riga	LV		56,95002382	24,09996537	0	0		742572	705033	0	11	11	456172		Riga	1	0
4	50	2	Admin-1 capital	Tver			0	Tver	0	0		0	0	Russia	RUS	Russia	RUS	Tver'	RU		56,85997764	35,88999508	0	0		400212	363874	362050	10	10	480060		Tver	1	0
3	110	2	Admin-1 capital	Yekaterinburg		Sverdlovsk	0	Yekaterinburg	0	0		0	1	Russia	RUS	Russia	RUS	Sverdlovsk	RU		56,85002993	60,59995967	0	0		1313000	1227976	1190067	12	12	1486209	Yekaterinburg	Yekaterinburg	1	0
4	50	2	Populated place	Fort McMurray			0	Fort McMurray	0	0		0	0	Canada	CAN	Canada	CAN	Alberta	CA		56,7333187	-111,3833153	4	0	Location adjusted.	21863	21863	0	7	7	-1		Fort McMurray	1	0
3	110	2	Populated place	Nain			0	Nain	0	0		0	0	Canada	CAN	Canada	CAN	Newfoundland and Labrador	CA		56,54735147	-61,6860454	0	0		1151	1151	0	3	3	-1		Nain	1	0
3	110	2	Admin-1 capital	Tomsk			0	Tomsk	0	0		0	0	Russia	RUS	Russia	RUS	Tomsk	RU		56,494987	84,97500932	0	0		535479	408421	383497	11	10	1489425		Tomsk	1	0
3	110	2	Admin-1 capital	Nizhny Novgorod		Gor'kiy|Nizhniy Novgorod|Novgorod	0	Nizhny Novgorod	0	0		0	1	Russia	RUS	Russia	RUS	Nizhegorod	RU		56,33300722	44,00009436	4	0	Location adjusted.	1278000	1214926	0	12	12	520555	Nizhniy Novgorod	Nizhny Novgorod	1	0
4	50	2	Populated place	Fort St. John			0	Fort St. John	0	0		0	0	Canada	CAN	Canada	CAN	British Columbia	CA		56,24998903	-120,8332811	0	0		18776	17402	16903	6	6	5955960		Fort St. John	1	0
4	50	2	Populated place	Peace River			0	Peace River	0	0		0	0	Canada	CAN	Canada	CAN	Alberta	CA		56,23332338	-117,2832911	0	0		5340	4689	0	5	4	6100069		Peace River	1	0
3	110	2	Populated place	Bratsk			0	Bratsk	0	0		0	0	Russia	RUS	Russia	RUS	Irkutsk	RU		56,15699729	101,6150272	4	0	Location adjusted.	246348	21462	0	10	7	2051523		Bratsk	1	0
3	110	2	Admin-1 capital	Krasnoyarsk			0	Krasnoyarsk	0	0		0	1	Russia	RUS	Russia	RUS	Krasnoyarsk	RU		56,01398277	92,86600053	4	0	Location adjusted.	925000	302210	0	11	10	1502026	Krasnoyarsk	Krasnoyarsk	1	0
3	110	2	Populated place	Fort Severn			0	Fort Severn	0	0		0	0	Canada	CAN	Canada	CAN	Ontario	CA		55,98333864	-87,64998356	0	0		125	125	0	1	1	-1		Fort Severn	1	0
6	30	5	Admin-0 region capital	Edinburgh			0	Edinburgh	0	0		0	0	United Kingdom	GBR	United Kingdom	GBR	Edinburgh	GB		55,94832786	-3,219090618	1	0	Changed scale rank.	504966	435791	442794	11	10	2650225		Edinburgh	1	0
3	110	5	Populated place	Glasgow			0	Glasgow	0	0		0	1	United Kingdom	GBR	United Kingdom	GBR	Glasgow	GB		55,87440472	-4,250707236	0	0		1160000	610268	3240	12	11	2648579	Glasgow	Glasgow2	1	2
0	600	2	Admin-0 capital	Moscow	Moskva		0	Moscow	1	0		1	1	Russia	RUS	Russia	RUS	Moskva	RU		55,75216412	37,61552283	0	0		10452000	10452000	10585385	14	14	524901	Moskva	Moscow	1	0
4	50	2	Populated place	Thompson			0	Thompson	0	0		0	0	Canada	CAN	Canada	CAN	Manitoba	CA		55,74994204	-97,86662093	0	0		13727	12467	13471	6	6	6165406		Thompson	1	0
3	110	2	Admin-1 capital	Kazan		Kazan'	0	Kazan	0	0		0	1	Russia	RUS	Russia	RUS	Tatarstan	RU		55,74994204	49,12634477	0	0		1115000	912270	880093	12	11	551487	Kazan	Kazan	1	0
2	200	8	Admin-0 capital	Kobenhavn	Copenhagen		1	Kobenhavn	1	0		1	1	Denmark	DNK	Denmark	DNK	Hovedstaden	DK		55,67856419	12,56348575	0	0		1085000	1085000	1038288	12	12	2618425	Kobenhavn	Copenhagen	1	0
4	50	7	Admin-1 capital	Malmo			1	Malmo	0	0		0	0	Sweden	SWE	Sweden	SWE	Sksne	SE		55,58333722	13,03330237	0	0		269349	261548	260156	10	10	2692969		Malmo	1	0
4	50	2	Admin-1 capital	Kemerovo			0	Kemerovo	0	0		0	0	Russia	RUS	Russia	RUS	Kemerovo	RU		55,33996706	86,08998002	0	0		477090	464279	447908	10	10	1503901		Kemerovo	1	0
4	50	2	Populated place	Kuujjuarapik			0	Kuujjuarapik	0	0		0	0	Canada	CAN	Canada	CAN	Quebec	CA		55,28149518	-77,76583236	4	0	Location adjusted.	1243	1243	0	3	3	-1		Kuujjuarapik	1	0
3	110	1	Populated place	Cold Bay			0	Cold Bay	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		55,20000144	-162,7150916	4	0	Location adjusted.	200	108	0	1	1	-1		Cold Bay	0	0
4	50	2	Admin-1 capital	Chelyabinsk			0	Chelyabinsk	0	0		0	1	Russia	RUS	Russia	RUS	Chelyabinsk	RU		55,15499127	61,43866817	0	0		1091000	946604	1008620	12	11	1508291	Chelyabinsk	Chelyabinsk	1	0
3	110	2	Admin-1 capital	Novosibirsk			0	Novosibirsk	0	0		0	1	Russia	RUS	Russia	RUS	Novosibirsk	RU		55,02996014	82,96004187	0	0		1389000	1037201	1006430	12	12	1496747	Novosibirsk	Novosibirsk	1	0
4	50	2	Admin-1 capital	Omsk			0	Omsk	0	0		0	1	Russia	RUS	Russia	RUS	Omsk	RU		54,98998842	73,39995357	1	0	Changed scale rank.	1135000	1043403	1026785	12	12	1496153	Omsk	Omsk	1	0
3	110	2	Admin-1 capital	Ufa			0	Ufa	0	0		0	1	Russia	RUS	Russia	RUS	Bashkortostan	RU		54,78997479	56,04003129	0	0		1018000	920756	858516	12	11	479561	Ufa	Ufa	1	0
4	50	2	Admin-1 capital	Smolensk			0	Smolensk	0	0		0	0	Russia	RUS	Russia	RUS	Smolensk	RU		54,78268841	32,04733557	0	0		320991	302918	285689	10	10	491687		Smolensk	1	0
4	50	2	Admin-1 capital	Kaliningrad			0	Kaliningrad	0	0		0	0	Russia	RUS	Russia	RUS	Kaliningrad	RU		54,70000612	20,49734289	0	0		434954	371499	361342	10	10	554234		Kaliningrad	1	0
3	110	8	Admin-0 capital	Vilnius			0	Vilnius	1	0		0	0	Lithuania	LTU	Lithuania	LTU	Vilniaus	LT		54,68336631	25,31663529	0	0		542366	507029	494356	11	11	593116		Vilnius	1	0
4	50	2	Admin-1 capital	Ryazan			0	Ryazan	0	0		0	0	Russia	RUS	Russia	RUS	Ryazan'	RU		54,61995933	39,71999385	0	0		520173	484573	464962	11	10	500096		Ryazan	1	0
4	50	5	Admin-0 region capital	Belfast			0	Belfast	0	0		0	0	United Kingdom	GBR	United Kingdom	GBR	Belfast	GB		54,60001223	-5,960034425	0	0		450406	274770	418064	10	10	2655984		Belfast	1	0
4	50	5	Admin-1 capital	Gdansk		Danzig	0	Gdansk	0	0		0	0	Poland	POL	Poland	POL	Pomeranian	PL		54,3599752	18,64004024	0	0		740000	455830	420657	11	10	3099434		Gdansk	1	5
4	50	2	Admin-1 capital	Ulyanovsk		Ul'yanovsk	0	Ulyanovsk	0	0		0	0	Russia	RUS	Russia	RUS	Ul'yanovsk	RU		54,32997703	48,41000606	0	0		640680	502427	499514	11	11	479123		Ulyanovsk	1	0
3	110	2	Populated place	Prince Rupert			0	Prince Rupert	0	0		0	0	Canada	CAN	Canada	CAN	British Columbia	CA		54,31667035	-130,3299882	4	0	Location adjusted. Population from GeoNames.	14708	14708	0	6	6	6113406		Prince Rupert	0	0
7	20	0	Admin-0 region capital	Douglas			0	Douglas	0	0		0	0	United Kingdom	GBR	Isle of Man	IMN		IM		54,15042727	-4,480021404	0	0		35854	26218	13441	7	7	2651073		Douglas3	1	5
3	110	6	Admin-0 capital	Minsk			0	Minsk	1	0		0	1	Belarus	BLR	Belarus	BLR	Minsk	BY		53,89997744	27,56662716	0	0		1805000	1577138	1557919	12	12	625144	Minsk	Minsk	1	0
4	50	2	Populated place	Novokuznetsk			0	Novokuznetsk	0	0		0	0	Russia	RUS	Russia	RUS	Kemerovo	RU		53,75001243	87,11498205	0	0		539616	521035	475123	11	11	1496990		Novokuznetsk	1	0
4	50	2	Admin-1 capital	Abakan			0	Abakan	0	0		0	0	Russia	RUS	Russia	RUS	Krasnoyarsk	RU		53,70368451	91,44500199	0	0		167289	155465	152359	9	9	1512236		Abakan	1	0
